colour,light min(mW),Light max(mW),current min e-8,current max e-8,current average,range,relative range,variance,std deviation,light variance,light std dev,light av
green,1.783,1.79,14.68,15.01,14.845,0.33,0.022229707,0.027225,0.165,1.23E-05,0.0035,1.7865
green,1.69,1.71,12.55,12.63,12.59,0.08,0.006354249,0.0016,0.04,0.0001,0.01,1.7
green,1.583,1.59,11.37,11.41,11.39,0.04,0.003511853,0.0004,0.02,1.23E-05,0.0035,1.5865
green,1.45,1.46,10.15,10.2,10.175,0.05,0.004914005,0.000625,0.025,0.000025,0.005,1.455
green,1.346,1.351,9.36,9.38,9.37,0.02,0.002134472,0.0001,0.01,6.25E-06,0.0025,1.3485
green,1.13,1.17,7.84,7.93,7.885,0.09,0.011414077,0.002025,0.045,0.0004,0.02,1.15
green,0.968,0.971,6.2,6.25,6.225,0.05,0.008032129,0.000625,0.025,0.00000225,0.0015,0.9695
green,0.825,0.832,5.02,5.1,5.06,0.08,0.015810277,0.0016,0.04,0.00001225,0.0035,0.8285
green,0.649,0.653,3.97,4.01,3.99,0.04,0.010025063,0.0004,0.02,4.00E-06,0.002,0.651
green,0.484,0.489,2.94,2.96,2.95,0.02,0.006779661,0.0001,0.01,6.25E-06,0.0025,0.4865
green,0.348,0.351,1.99,2.02,2.005,0.03,0.014962594,0.000225,0.015,0.00000225,0.0015,0.3495
green,0.178,0.182,1.01,1.02,1.015,0.01,0.009852217,0.000025,0.005,4.00E-06,0.002,0.18
green,0.097,0.098,0.57,0.572,0.571,0.002,0.003502627,0.000001,0.001,0.00000025,0.0005,0.0975
green,0.018,0.017,0.115,0.116,0.1155,0.001,0.008658009,0.00000025,0.0005,2.50E-07,0.0005,0.0175
Purple,0.061,0.062,12.58,12.59,12.585,0.01,0.000794597,2.50E-05,0.005,0.00000025,0.0005,0.0615
Purple,0.056,0.057,11.47,11.51,11.49,0.04,0.003481288,0.0004,0.02,0.00000025,0.0005,0.0565
Purple,0.052,0.053,10.09,10.13,10.11,0.04,0.003956479,0.0004,0.02,0.00000025,0.0005,0.0525
Purple,0.048,0.049,9.09,9.11,9.1,0.02,0.002197802,1.00E-04,0.01,0.00000025,0.0005,0.0485
Purple,0.043,0.044,7.97,8,7.985,0.03,0.003757044,0.000225,0.015,0.00000025,0.0005,0.0435
